,Game_Id,Date,Period,Event,Description,Time_Elapsed,Seconds_Elapsed,Strength,Ev_Zone,Type,Ev_Team,Home_Zone,Away_Team,Home_Team,p1_name,p1_ID,p2_name,p2_ID,p3_name,p3_ID,awayPlayer1,awayPlayer1_id,awayPlayer2,awayPlayer2_id,awayPlayer3,awayPlayer3_id,awayPlayer4,awayPlayer4_id,awayPlayer5,awayPlayer5_id,awayPlayer6,awayPlayer6_id,homePlayer1,homePlayer1_id,homePlayer2,homePlayer2_id,homePlayer3,homePlayer3_id,homePlayer4,homePlayer4_id,homePlayer5,homePlayer5_id,homePlayer6,homePlayer6_id,Away_Players,Home_Players,Away_Score,Home_Score,Away_Goalie,Away_Goalie_Id,Home_Goalie,Home_Goalie_Id,xC,yC,Home_Coach,Away_Coach
0,20598,2019-12-28,1,PSTR,Period Start- Local time: 6:08 CST,0:00,0.0,5x5,,,,,COL,DAL,,,,,,,NATHAN MACKINNON,8477492.0,MIKKO RANTANEN,8478420.0,GABRIEL LANDESKOG,8476455.0,CALE MAKAR,8480069.0,RYAN GRAVES,8477435.0,PHILIPP GRUBAUER,8475831.0,ANDREW COGLIANO,8471699.0,RADEK FAKSA,8476889.0,BLAKE COMEAU,8471260.0,MIRO HEISKANEN,8480036.0,ESA LINDELL,8476902.0,BEN BISHOP,8471750.0,6,6,0,0,PHILIPP GRUBAUER,8475831.0,BEN BISHOP,8471750.0,,,RICK BOWNESS,JARED BEDNAR
1,20598,2019-12-28,1,FAC,COL won Neu. Zone - COL #92 LANDESKOG vs DAL #12 FAKSA,0:00,0.0,5x5,Neu,,COL,Neu,COL,DAL,GABRIEL LANDESKOG,8476455.0,RADEK FAKSA,8476889.0,,,NATHAN MACKINNON,8477492.0,MIKKO RANTANEN,8478420.0,GABRIEL LANDESKOG,8476455.0,CALE MAKAR,8480069.0,RYAN GRAVES,8477435.0,PHILIPP GRUBAUER,8475831.0,ANDREW COGLIANO,8471699.0,RADEK FAKSA,8476889.0,BLAKE COMEAU,8471260.0,MIRO HEISKANEN,8480036.0,ESA LINDELL,8476902.0,BEN BISHOP,8471750.0,6,6,0,0,PHILIPP GRUBAUER,8475831.0,BEN BISHOP,8471750.0,0.0,0.0,RICK BOWNESS,JARED BEDNAR
2,20598,2019-12-28,1,GIVE,"DAL GIVEAWAY - #11 COGLIANO, Off. Zone",0:22,22.0,5x5,Off,,DAL,Off,COL,DAL,ANDREW COGLIANO,8471699.0,,,,,NATHAN MACKINNON,8477492.0,MIKKO RANTANEN,8478420.0,GABRIEL LANDESKOG,8476455.0,CALE MAKAR,8480069.0,RYAN GRAVES,8477435.0,PHILIPP GRUBAUER,8475831.0,ANDREW COGLIANO,8471699.0,RADEK FAKSA,8476889.0,BLAKE COMEAU,8471260.0,MIRO HEISKANEN,8480036.0,ESA LINDELL,8476902.0,BEN BISHOP,8471750.0,6,6,0,0,PHILIPP GRUBAUER,8475831.0,BEN BISHOP,8471750.0,-96.0,24.0,RICK BOWNESS,JARED BEDNAR
3,20598,2019-12-28,1,MISS,"COL #41 BELLEMARE, Wrist, Wide of Net, Off. Zone, 46 ft.",0:33,33.0,5x5,Off,WRIST SHOT,COL,Def,COL,DAL,PIERRE-EDOUARD BELLEMARE,8477930.0,,,,,MIKKO RANTANEN,8478420.0,PIERRE-EDOUARD BELLEMARE,8477930.0,GABRIEL LANDESKOG,8476455.0,CALE MAKAR,8480069.0,RYAN GRAVES,8477435.0,PHILIPP GRUBAUER,8475831.0,TYLER SEGUIN,8475794.0,JAMIE BENN,8473994.0,BLAKE COMEAU,8471260.0,MIRO HEISKANEN,8480036.0,ESA LINDELL,8476902.0,BEN BISHOP,8471750.0,6,6,0,0,PHILIPP GRUBAUER,8475831.0,BEN BISHOP,8471750.0,44.0,-10.0,RICK BOWNESS,JARED BEDNAR
4,20598,2019-12-28,1,GIVE,"DAL GIVEAWAY - #14 BENN, Def. Zone",0:41,41.0,5x5,Def,,DAL,Def,COL,DAL,JAMIE BENN,8473994.0,,,,,MIKKO RANTANEN,8478420.0,PIERRE-EDOUARD BELLEMARE,8477930.0,GABRIEL LANDESKOG,8476455.0,NIKITA ZADOROV,8477507.0,SAMUEL GIRARD,8479398.0,PHILIPP GRUBAUER,8475831.0,TYLER SEGUIN,8475794.0,JAMIE BENN,8473994.0,BLAKE COMEAU,8471260.0,MIRO HEISKANEN,8480036.0,ESA LINDELL,8476902.0,BEN BISHOP,8471750.0,6,6,0,0,PHILIPP GRUBAUER,8475831.0,BEN BISHOP,8471750.0,42.0,-4.0,RICK BOWNESS,JARED BEDNAR
5,20598,2019-12-28,1,HIT,"DAL #23 LINDELL HIT COL #41 BELLEMARE, Neu. Zone",0:47,47.0,5x5,Neu,,DAL,Neu,COL,DAL,ESA LINDELL,8476902.0,PIERRE-EDOUARD BELLEMARE,8477930.0,,,MIKKO RANTANEN,8478420.0,PIERRE-EDOUARD BELLEMARE,8477930.0,GABRIEL LANDESKOG,8476455.0,NIKITA ZADOROV,8477507.0,SAMUEL GIRARD,8479398.0,PHILIPP GRUBAUER,8475831.0,TYLER SEGUIN,8475794.0,ALEXANDER RADULOV,8471228.0,JAMIE BENN,8473994.0,JOHN KLINGBERG,8475906.0,ESA LINDELL,8476902.0,BEN BISHOP,8471750.0,6,6,0,0,PHILIPP GRUBAUER,8475831.0,BEN BISHOP,8471750.0,-18.0,-40.0,RICK BOWNESS,JARED BEDNAR
6,20598,2019-12-28,1,HIT,"COL #11 CALVERT HIT DAL #47 RADULOV, Off. Zone",1:05,65.0,5x5,Off,,COL,Def,COL,DAL,MATT CALVERT,8474685.0,ALEXANDER RADULOV,8471228.0,,,VALERI NICHUSHKIN,8477501.0,MATT CALVERT,8474685.0,PIERRE-EDOUARD BELLEMARE,8477930.0,NIKITA ZADOROV,8477507.0,SAMUEL GIRARD,8479398.0,PHILIPP GRUBAUER,8475831.0,TYLER SEGUIN,8475794.0,ALEXANDER RADULOV,8471228.0,JAMIE BENN,8473994.0,JAMIE OLEKSIAK,8476467.0,JOHN KLINGBERG,8475906.0,BEN BISHOP,8471750.0,6,6,0,0,PHILIPP GRUBAUER,8475831.0,BEN BISHOP,8471750.0,97.0,16.0,RICK BOWNESS,JARED BEDNAR
7,20598,2019-12-28,1,GOAL,"DAL #91 SEGUIN(11), Snap, Off. Zone, 8 ft.Assists: #47 RADULOV(15); #3 KLINGBERG(12)",1:08,68.0,5x5,Off,SNAP SHOT,DAL,Off,COL,DAL,TYLER SEGUIN,8475794.0,ALEXANDER RADULOV,8471228.0,JOHN KLINGBERG,8475906.0,VALERI NICHUSHKIN,8477501.0,MATT CALVERT,8474685.0,PIERRE-EDOUARD BELLEMARE,8477930.0,NIKITA ZADOROV,8477507.0,SAMUEL GIRARD,8479398.0,PHILIPP GRUBAUER,8475831.0,TYLER SEGUIN,8475794.0,ALEXANDER RADULOV,8471228.0,JAMIE BENN,8473994.0,JAMIE OLEKSIAK,8476467.0,JOHN KLINGBERG,8475906.0,BEN BISHOP,8471750.0,6,6,0,0,PHILIPP GRUBAUER,8475831.0,BEN BISHOP,8471750.0,-82.0,-5.0,RICK BOWNESS,JARED BEDNAR
8,20598,2019-12-28,1,FAC,DAL won Neu. Zone - COL #91 KADRI vs DAL #18 DICKINSON,1:08,68.0,5x5,Neu,,DAL,Neu,COL,DAL,JASON DICKINSON,8477450.0,NAZEM KADRI,8475172.0,,,NAZEM KADRI,8475172.0,JOONAS DONSKOI,8475820.0,ANDRE BURAKOVSKY,8477444.0,ERIK JOHNSON,8473446.0,IAN COLE,8474013.0,PHILIPP GRUBAUER,8475831.0,JASON DICKINSON,8477450.0,COREY PERRY,8470621.0,DENIS GURIANOV,8478495.0,ANDREJ SEKERA,8471284.0,ROMAN POLAK,8471392.0,BEN BISHOP,8471750.0,6,6,0,1,PHILIPP GRUBAUER,8475831.0,BEN BISHOP,8471750.0,0.0,0.0,RICK BOWNESS,JARED BEDNAR
9,20598,2019-12-28,1,HIT,"COL #28 COLE HIT DAL #10 PERRY, Def. Zone",1:19,79.0,5x5,Def,,COL,Off,COL,DAL,IAN COLE,8474013.0,COREY PERRY,8470621.0,,,NAZEM KADRI,8475172.0,JOONAS DONSKOI,8475820.0,ANDRE BURAKOVSKY,8477444.0,ERIK JOHNSON,8473446.0,IAN COLE,8474013.0,PHILIPP GRUBAUER,8475831.0,JASON DICKINSON,8477450.0,COREY PERRY,8470621.0,DENIS GURIANOV,8478495.0,ANDREJ SEKERA,8471284.0,ROMAN POLAK,8471392.0,BEN BISHOP,8471750.0,6,6,0,1,PHILIPP GRUBAUER,8475831.0,BEN BISHOP,8471750.0,-31.0,19.0,RICK BOWNESS,JARED BEDNAR
10,20598,2019-12-28,1,HIT,"COL #95 BURAKOVSKY HIT DAL #45 POLAK, Off. Zone",1:45,105.0,5x5,Off,,COL,Def,COL,DAL,ANDRE BURAKOVSKY,8477444.0,ROMAN POLAK,8471392.0,,,NAZEM KADRI,8475172.0,JOONAS DONSKOI,8475820.0,ANDRE BURAKOVSKY,8477444.0,NIKITA ZADOROV,8477507.0,SAMUEL GIRARD,8479398.0,PHILIPP GRUBAUER,8475831.0,JOE PAVELSKI,8470794.0,JASON DICKINSON,8477450.0,DENIS GURIANOV,8478495.0,ANDREJ SEKERA,8471284.0,ROMAN POLAK,8471392.0,BEN BISHOP,8471750.0,6,6,0,1,PHILIPP GRUBAUER,8475831.0,BEN BISHOP,8471750.0,78.0,41.0,RICK BOWNESS,JARED BEDNAR
11,20598,2019-12-28,1,GIVE,"DAL GIVEAWAY - #45 POLAK, Def. Zone",1:52,112.0,5x5,Def,,DAL,Def,COL,DAL,ROMAN POLAK,8471392.0,,,,,NAZEM KADRI,8475172.0,J.T. COMPHER,8477456.0,ANDRE BURAKOVSKY,8477444.0,NIKITA ZADOROV,8477507.0,SAMUEL GIRARD,8479398.0,PHILIPP GRUBAUER,8475831.0,JOE PAVELSKI,8470794.0,JASON DICKINSON,8477450.0,DENIS GURIANOV,8478495.0,ANDREJ SEKERA,8471284.0,ROMAN POLAK,8471392.0,BEN BISHOP,8471750.0,6,6,0,1,PHILIPP GRUBAUER,8475831.0,BEN BISHOP,8471750.0,85.0,37.0,RICK BOWNESS,JARED BEDNAR
